YEAR,MONTH,DAY,PERIOD,RAIN_PER,DOW,SEARCH_VOL,PAYMENT
2023,4,1,2,20.0,SAT,33.47163749999999,24.8631768
2023,4,1,3,23.333333333333332,SAT,45.858487499999995,69.78641669999999
2023,4,1,4,20.0,SAT,21.553612499999996,101.71299599999998
2023,4,1,5,4.705882352941177,SAT,22.4665875,73.7419221
2023,4,1,6,0.0,SAT,0.0,6.2157942
2023,4,2,1,0.0,SUN,0.0,5.3935992
2023,4,2,2,0.0,SUN,40.355875,21.5743968
2023,4,2,3,0.0,SUN,55.290375000000004,60.555409199999986
2023,4,2,4,0.0,SUN,25.986625,88.25889599999998
2023,4,2,5,0.0,SUN,27.087375,63.98769959999999
2023,4,2,6,0.0,SUN,0.0,5.3935992
2023,4,3,1,0.0,MON,0.0,4.0451994000000004
2023,4,3,2,0.0,MON,32.2847,16.180797600000002
2023,4,3,3,0.0,MON,44.23230000000001,45.4165569
2023,4,3,4,17.818181818181817,MON,20.7893,66.19417200000001
2023,4,3,5,20.54794520547945,MON,21.669900000000005,47.99077470000001
2023,4,3,6,20.0,MON,0.0,4.0451994000000004
2023,4,4,1,24.8,TUE,0.0,4.604292000000001
2023,4,4,2,32.123893805309734,TUE,32.2847,13.812876000000003
2023,4,4,3,53.333333333333336,TUE,44.23230000000001,32.30852625000001
2023,4,4,4,60.02985074626866,TUE,20.7893,47.08935000000001
2023,4,4,5,60.43835616438356,TUE,21.669900000000005,34.139778750000005
2023,4,4,6,61.10344827586207,TUE,0.0,2.8776825000000006
2023,4,5,1,62.808,WED,0.0,2.4460301250000005
2023,4,5,2,59.203539823008846,WED,32.9968625,9.784120500000002
2023,4,5,3,57.5,WED,45.20801250000001,27.462247312500004
2023,4,5,4,50.59701492537314,WED,21.2478875,10.673586000000002
2023,4,5,5,37.397260273972606,WED,22.147912500000004,34.822574325000005
2023,4,5,6,53.793103448275865,WED,0.0,2.4460301250000005
2023,4,6,1,41.52,THU,0.0,3.1325629500000005
2023,4,6,2,30.0,THU,32.759475,16.7070024
2023,4,6,3,26.666666666666668,THU,44.88277500000001,46.893518099999994
2023,4,6,4,12.835820895522389,THU,21.095025000000003,68.34682799999999
2023,4,6,5,6.712328767123288,THU,21.988575000000004,49.5514503
2023,4,6,6,14.827586206896552,THU,0.0,4.1767506
2023,4,7,1,16.64,FRI,0.0,4.5056286
2023,4,7,2,2.1238938053097347,FRI,33.23425,18.0225144
2023,4,7,3,0.0,FRI,45.53325000000001,50.58592109999999
2023,4,7,4,0.0,FRI,21.400750000000002,73.72846799999999
2023,4,7,5,0.0,FRI,22.307250000000003,53.4531393
2023,4,7,6,0.0,FRI,0.0,4.5056286
2023,4,8,1,0.0,SAT,0.0,6.2157942
2023,4,8,2,0.0,SAT,33.47163749999999,24.8631768
2023,4,8,3,0.0,SAT,45.858487499999995,69.78641669999999
2023,4,8,4,0.0,SAT,21.553612499999996,101.71299599999998
2023,4,8,5,0.0,SAT,22.4665875,73.7419221
2023,4,8,6,0.0,SAT,0.0,6.2157942
2023,4,9,1,0.0,SUN,0.0,5.3935992
2023,4,9,2,6.725663716814159,SUN,40.355875,21.5743968
2023,4,9,3,5.555555555555555,SUN,55.290375000000004,60.555409199999986
2023,4,9,4,5.970149253731344,SUN,25.986625,88.25889599999998
2023,4,9,5,10.95890410958904,SUN,27.087375,63.98769959999999
2023,4,9,6,16.03448275862069,SUN,0.0,5.3935992
2023,4,10,1,10.56,MON,0.0,4.0451994000000004
2023,4,10,2,11.415929203539823,MON,32.2847,16.180797600000002
2023,4,10,3,21.666666666666668,MON,44.23230000000001,45.4165569
2023,4,10,4,21.940298507462686,MON,20.7893,66.19417200000001
2023,4,10,5,26.164383561643834,MON,21.669900000000005,47.99077470000001
2023,4,10,6,32.06896551724138,MON,0.0,3.033899550000001
2023,4,11,1,54.944,TUE,0.0,2.8776825000000006
2023,4,11,2,20.884955752212388,TUE,32.2847,18.417168000000004
2023,4,11,3,5.0,TUE,44.23230000000001,51.693642000000004
2023,4,11,4,0.0,TUE,20.7893,75.34296
2023,4,11,5,0.0,TUE,21.669900000000005,54.62364600000001
2023,4,11,6,0.0,TUE,0.0,4.604292000000001
2023,4,12,1,0.0,WED,0.0,3.913648200000001
2023,4,12,2,0.0,WED,32.9968625,15.654592800000003
2023,4,12,3,3.3333333333333335,WED,45.20801250000001,43.939595700000005
2023,4,12,4,1.1940298507462686,WED,21.2478875,64.041516
2023,4,12,5,0.0,WED,22.147912500000004,46.43009910000001
2023,4,12,6,1.3793103448275863,WED,0.0,3.913648200000001
2023,4,13,1,2.08,THU,0.0,4.1767506
2023,4,13,2,9.91150442477876,THU,32.759475,16.7070024
2023,4,13,3,12.222222222222221,THU,44.88277500000001,46.893518099999994
2023,4,13,4,18.80597014925373,THU,21.095025000000003,68.34682799999999
2023,4,13,5,17.123287671232877,THU,21.988575000000004,49.5514503
2023,4,13,6,15.0,THU,0.0,4.1767506
2023,4,14,1,29.6,FRI,0.0,4.5056286
2023,4,14,2,24.336283185840706,FRI,33.23425,18.0225144
2023,4,14,3,26.11111111111111,FRI,45.53325000000001,50.58592109999999
2023,4,14,4,30.0,FRI,21.400750000000002,73.72846799999999
2023,4,14,5,29.315068493150687,FRI,22.307250000000003,53.4531393
2023,4,14,6,41.724137931034484,FRI,0.0,3.37922145
2023,4,15,1,50.72,SAT,0.0,1.0359657
